date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:34	710/710	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Apr%202022%2011:42:57%20GMT	https://orteil.dashnet.org/robots.txt		(from )
16:16:34	106543/106543	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Sep%202018%2019:26:06%20GMT	https://orteil.dashnet.org/murdergames/	C:/My%20Web%20Sites/Murder%20Games/orteil.dashnet.org/murdergames/index.html	(from )
16:16:35	4568/4568	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e2d-11d8%22	http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/1.0.9/cookieconsent.min.js	C:/My%20Web%20Sites/Murder%20Games/cdnjs.cloudflare.com/ajax/libs/cookieconsent2/1.0.9/cookieconsent.min.js	(from https://orteil.dashnet.org/murdergames/)
16:16:35	15800/15800	---M-Z	200	added ('OK')	text/javascript	etag:%223db8-576784dcd3340-gzip%22	https://orteil.dashnet.org/murdergames/sortable.js	C:/My%20Web%20Sites/Murder%20Games/orteil.dashnet.org/murdergames/sortable.js	(from https://orteil.dashnet.org/murdergames/)
16:16:35	8825/8825	---M--	200	added ('OK')	image/png	etag:%222f94-5237f34128140%22	https://orteil.dashnet.org/murdergames/shadedBorders.png	C:/My%20Web%20Sites/Murder%20Games/orteil.dashnet.org/murdergames/shadedBorders.png	(from https://orteil.dashnet.org/murdergames/)
16:16:36	79929/79929	---M--	200	added ('OK')	image/jpeg	etag:%2214ddc-57639e00216c0%22	https://orteil.dashnet.org/murdergames/bg.jpg	C:/My%20Web%20Sites/Murder%20Games/orteil.dashnet.org/murdergames/bg.jpg	(from https://orteil.dashnet.org/murdergames/)
16:16:36	96546/96546	---M--	200	added ('OK')	image/jpeg	etag:%221922a-57656999cac00%22	https://orteil.dashnet.org/murdergames/bgRed.jpg	C:/My%20Web%20Sites/Murder%20Games/orteil.dashnet.org/murdergames/bgRed.jpg	(from https://orteil.dashnet.org/murdergames/)
16:16:36	59108/59108	---M--	200	added ('OK')	image/jpeg	etag:%22efd3-57656991357c0%22	https://orteil.dashnet.org/murdergames/bgBlue.jpg	C:/My%20Web%20Sites/Murder%20Games/orteil.dashnet.org/murdergames/bgBlue.jpg	(from https://orteil.dashnet.org/murdergames/)
16:16:36	238/238	---M--	200	added ('OK')	image/png	etag:%22457-576694f156880%22	https://orteil.dashnet.org/murdergames/skull.png	C:/My%20Web%20Sites/Murder%20Games/orteil.dashnet.org/murdergames/skull.png	(from https://orteil.dashnet.org/murdergames/)
16:16:37	80/80	---M--	200	added ('OK')	image/png	etag:%223bf-5767845dfc800%22	https://orteil.dashnet.org/murdergames/friction.png	C:/My%20Web%20Sites/Murder%20Games/orteil.dashnet.org/murdergames/friction.png	(from https://orteil.dashnet.org/murdergames/)
16:16:46	190787/190787	---M--	200	added ('OK')	text/javascript	etag:8596352667662559396	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/Murder%20Games/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://orteil.dashnet.org/murdergames/)
